instance_id,output_text,ground_truth,similarity_score,correct
0,Shooting an arrow,['shooting arrow'],0.9761127233505249,True
1,Shooting a bow and arrow,['shooting arrow'],0.8844687938690186,True
2,Pulling a bowstring,['shooting arrow'],0.49604377150535583,False
3,Archery miming,['shooting arrow'],0.6445444226264954,True
4,Throwing a ball,['shooting arrow'],0.33651596307754517,False
5,Shooting an arrow,['shooting arrow'],0.9761127233505249,True
6,Acting tired,['shooting arrow'],0.197143092751503,False
7,Shooting bow and arrow,['shooting arrow'],0.8977789878845215,True
8,Throwing a dart,['shooting arrow'],0.5488691926002502,True
9,Throwing a punch,['shooting arrow'],0.43796998262405396,False
10,Punching air,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.3941469192504883,False
11,Showing small size,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.13742764294147491,False
12,Pumping fist triumphantly,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.24807360768318176,False
13,Lifting weights,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.8208645582199097,True
14,Throwing a ball,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.29633378982543945,False
15,Lifting weights,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.8208645582199097,True
16,Answering the phone,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.21375566720962524,False
17,Throwing a punch,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.34230154752731323,False
18,Throwing a punch,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.34230154752731323,False
19,Catching a ball,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.25321951508522034,False
20,Swinging golf club,['baseball swing'],0.6861603260040283,True
21,Taking cover,['baseball swing'],0.13731099665164948,False
22,Swinging golf club,['baseball swing'],0.6861603260040283,True
23,Pitching baseball,['baseball swing'],0.691510796546936,True
24,Swinging a golf club,['baseball swing'],0.6686261296272278,True
25,Pitching baseball,['baseball swing'],0.691510796546936,True
26,Carrying something heavy,['baseball swing'],0.13955020904541016,False
27,Swinging golf club,['baseball swing'],0.6861603260040283,True
28,Swinging golf club,['baseball swing'],0.6861603260040283,True
29,Swinging golf club,['baseball swing'],0.6861603260040283,True
30,Throwing a punch,['baseball pitch'],0.3508531451225281,False
31,Acting tired and falling,['baseball pitch'],0.07945019006729126,False
32,Throwing a bowling ball,['baseball pitch'],0.5377451181411743,True
33,Pitching baseball,['baseball pitch'],0.8109980821609497,True
34,Bowling a ball,['baseball pitch'],0.5322360992431641,True
35,Pitching baseball,['baseball pitch'],0.8109980821609497,True
36,Dancing robot,['baseball pitch'],0.1270913928747177,False
37,Tripping and falling,['baseball pitch'],0.18106430768966675,False
38,Throwing a ball,['baseball pitch'],0.588962197303772,True
39,Running away from something,['baseball pitch'],0.1313420534133911,False
40,Catching a ball,['basketball shot'],0.47741299867630005,False
41,Adjusting helmet,['basketball shot'],0.07793492823839188,False
42,Catching a ball,['basketball shot'],0.47741299867630005,False
43,Shooting a basketball,['basketball shot'],0.8762844800949097,True
44,Catching invisible ball,['basketball shot'],0.3885846734046936,False
45,Shooting a gun,['basketball shot'],0.626010537147522,True
46,Scratching head,['basketball shot'],0.20888367295265198,False
47,Catching a ball,['basketball shot'],0.47741299867630005,False
48,Throwing a ball,['basketball shot'],0.5282814502716064,True
49,Catching a ball,['basketball shot'],0.47741299867630005,False
50,Catching a ball,['basketball layup'],0.38671037554740906,False
51,Running then jumping,['basketball layup'],0.3369286060333252,False
52,Jumping for joy,['basketball layup'],0.2124975472688675,False
53,Shooting basketball,['basketball layup'],0.5557824969291687,True
54,Carrying a suitcase,['basketball layup'],0.11423707008361816,False
55,Power ranger jumping,['basketball layup'],0.17962196469306946,False
56,Running and jumping,['basketball layup'],0.32138586044311523,False
57,Catching a ball,['basketball layup'],0.38671037554740906,False
58,Skateboarding fall,['basketball layup'],0.2828099727630615,False
59,Catching something,['basketball layup'],0.17666253447532654,False
60,Catching a ball,['bowling'],0.3701060116291046,False
61,Throwing grenade,['bowling'],0.34843987226486206,False
62,Catching a ball,['bowling'],0.3701060116291046,False
63,Bowling a strike,['bowling'],0.7352016568183899,True
64,Conducting orchestra,['bowling'],0.15036356449127197,False
65,Bowling,['bowling'],1.0,True
66,robot dancing,['bowling'],0.34536224603652954,False
67,Catching a small object,['bowling'],0.1485256850719452,False
68,Throwing a ball,['bowling'],0.47561872005462646,False
69,Bowling a ball,['bowling'],0.839245617389679,True
70,Boxing stance,['boxing'],0.6952793002128601,True
71,Taking cover,['boxing'],0.1856570839881897,False
72,Boxing stance,['boxing'],0.6952793002128601,True
73,Boxing stance miming,['boxing'],0.6345109343528748,True
74,Boxing stance miming,['boxing'],0.6345109343528748,True
75,Boxing stance,['boxing'],0.6952793002128601,True
76,Playing charades,['boxing'],0.23347626626491547,False
77,Shadow boxing,['boxing'],0.6916699409484863,True
78,Taking a picture,['boxing'],0.24186399579048157,False
79,Boxing stance,['boxing'],0.6952793002128601,True
80,Using a smartphone,"['checking phone', 'sending text', 'using phone']",0.8789341449737549,True
81,Holding a weapon,"['checking phone', 'sending text', 'using phone']",0.2900499701499939,False
82,Using a phone,"['checking phone', 'sending text', 'using phone']",0.9712902903556824,True
83,Using a phone,"['checking phone', 'sending text', 'using phone']",0.9712902903556824,True
84,Serving volleyball,"['checking phone', 'sending text', 'using phone']",0.1402469426393509,False
85,Removing helmet,"['checking phone', 'sending text', 'using phone']",0.11208139359951019,False
86,Feeling cold,"['checking phone', 'sending text', 'using phone']",0.1642940789461136,False
87,Checking phone,"['checking phone', 'sending text', 'using phone']",0.9999999403953552,True
88,Holding invisible object,"['checking phone', 'sending text', 'using phone']",0.172825887799263,False
89,Checking watch,"['checking phone', 'sending text', 'using phone']",0.5184553861618042,True
90,Checking wristwatch,['checking watch'],0.7043851613998413,True
91,Wiping sweat,['checking watch'],0.19192403554916382,False
92,Checking pulse,['checking watch'],0.37584632635116577,False
93,Checking the time,['checking watch'],0.5550270080566406,True
94,Checking time,['checking watch'],0.5563918352127075,True
95,Scratching head,['checking watch'],0.2051701545715332,False
96,Feeling tired,['checking watch'],0.2604358494281769,False
97,Checking watch,['checking watch'],1.0,True
98,Checking watch,['checking watch'],1.0,True
99,Checking wristwatch,['checking watch'],0.7043851613998413,True
100,Catching something,['climbing'],0.18780343234539032,False
101,Raising fist in victory,['climbing'],0.25349563360214233,False
102,Reaching for something,['climbing'],0.2799086570739746,False
103,Rock climbing mime,['climbing'],0.6550955772399902,True
104,Conducting orchestra,['climbing'],0.1574421375989914,False
105,Rock climbing mime,['climbing'],0.6550955772399902,True
106,Conducting orchestra,['climbing'],0.1574421375989914,False
107,Celebrating victory,['climbing'],0.2278927117586136,False
108,Catching something,['climbing'],0.18780343234539032,False
109,Boxing victory dance,['climbing'],0.2598974108695984,False
110,Catching something,['throwing dart'],0.39451393485069275,False
111,Acting confusedly,['throwing dart'],0.2475346028804779,False
112,Throwing something small,['throwing dart'],0.5701475739479065,True
113,Throwing darts,['throwing dart'],0.8791064023971558,True
114,Conducting orchestra,['throwing dart'],0.010607853531837463,False
115,Playing darts,['throwing dart'],0.7627625465393066,True
116,Conducting orchestra,['throwing dart'],0.010607853531837463,False
117,Catching something,['throwing dart'],0.39451393485069275,False
118,Drawing on wall,['throwing dart'],0.2653924822807312,False
119,Taking a photo,['throwing dart'],0.18523550033569336,False
120,Picking up something small,['deadlift'],0.15484914183616638,False
121,Picking up something,['deadlift'],0.23262812197208405,False
122,Falling down slowly,['deadlift'],0.2468193918466568,False
123,Lifting weights,['deadlift'],0.6366153359413147,True
124,Picking up something small,['deadlift'],0.15484914183616638,False
125,Lifting weights,['deadlift'],0.6366153359413147,True
126,Standing up slowly,['deadlift'],0.2449112981557846,False
127,Picking up something,['deadlift'],0.23262812197208405,False
128,Picking up something,['deadlift'],0.23262812197208405,False
129,Picking up object,['deadlift'],0.1586092710494995,False
130,Making a phone call,['drinking out of a cup'],0.09676825255155563,False
131,Saluting,['drinking out of a cup'],0.11736835539340973,False
132,Drinking something,['drinking out of a cup'],0.7087768316268921,True
133,Spilling a drink,['drinking out of a cup'],0.690839946269989,True
134,Drinking water,['drinking out of a cup'],0.5916119813919067,True
135,Saluting soldier,['drinking out of a cup'],0.052712585777044296,False
136,Saluting soldier,['drinking out of a cup'],0.052712585777044296,False
137,Looking far away,['drinking out of a cup'],0.142137348651886,False
138,Thinking deeply,['drinking out of a cup'],0.2016102373600006,False
139,Using binoculars,['drinking out of a cup'],0.0940154492855072,False
140,Riding skateboard,['driving'],0.2923191487789154,False
141,Firing a weapon,['driving'],0.16102416813373566,False
142,Skateboarding,['driving'],0.36305129528045654,False
143,Hoverboard riding,['driving'],0.2861553132534027,False
144,Playing violin,['driving'],0.26700359582901,False
145,Holding a gun,['driving'],0.26535531878471375,False
146,Reloading weapon,['driving'],0.09117837250232697,False
147,Driving a car,['driving'],0.7923792600631714,True
148,Taking photos,['driving'],0.40863868594169617,False
149,Driving a car,['driving'],0.7923792600631714,True
150,Playing air guitar,['driving'],0.18571136891841888,False
151,Reloading weapon,['driving'],0.09117837250232697,False
152,Playing tennis,['driving'],0.37013372778892517,False
153,Driving a car,['driving'],0.7923792600631714,True
154,Conducting orchestra,['driving'],0.12044986337423325,False
155,Adjusting helmet,['driving'],0.17098958790302277,False
156,Reloading weapon,['driving'],0.09117837250232697,False
157,Driving a car,['driving'],0.7923792600631714,True
158,Taking photos,['driving'],0.40863868594169617,False
159,Driving a car,['driving'],0.7923792600631714,True
160,Driving a car,['driving'],0.7923792600631714,True
161,Driving a vehicle,['driving'],0.7934914231300354,True
162,Driving a car,['driving'],0.7923792600631714,True
163,Hoverboarding,['driving'],0.1298447847366333,False
164,Playing air guitar,['driving'],0.18571136891841888,False
165,Driving a car,['driving'],0.7923792600631714,True
166,Sitting silently,['driving'],0.2302384227514267,False
167,Driving a car,['driving'],0.7923792600631714,True
168,Driving a car,['driving'],0.7923792600631714,True
169,Driving a car,['driving'],0.7923792600631714,True
170,Boxing mime,['fencing'],0.3501257300376892,False
171,robot dancing,['fencing'],0.20775818824768066,False
172,Throwing a ball,['fencing'],0.29975903034210205,False
173,fencing lunge,['fencing'],0.8261175155639648,True
174,Playing cricket,['fencing'],0.3144465684890747,False
175,robot dancing wildly,['fencing'],0.11020346730947495,False
176,Acting panicked,['fencing'],0.1666678488254547,False
177,Throwing a javelin,['fencing'],0.39497673511505127,False
178,Dancing wildly,['fencing'],0.17247658967971802,False
179,Throwing punch,['fencing'],0.36308521032333374,False
180,Throwing a ball,['fishing'],0.248565673828125,False
181,Reloading a weapon,['fishing'],0.07618683576583862,False
182,Throwing a ball,['fishing'],0.248565673828125,False
183,Fishing charades,['fishing'],0.7396721243858337,True
184,Swinging a bat,['fishing'],0.31454575061798096,False
185,Fishing with a rod,['fishing'],0.7448157072067261,True
186,Looking upwards,['fishing'],0.21728694438934326,False
187,Catching a ball,['fishing'],0.44861170649528503,False
188,Swinging golf club,['fishing'],0.2558804750442505,False
189,Throwing a frisbee,['fishing'],0.30722758173942566,False
190,Picking up something small,['golf put'],0.17465484142303467,False
191,Picking up something,['golf put'],0.20321789383888245,False
192,Picking up something small,['golf put'],0.17465484142303467,False
193,Putting golf ball,['golf put'],0.805637538433075,True
194,Picking up something,['golf put'],0.20321789383888245,False
195,Hiding its face,['golf put'],0.11096906661987305,False
196,Hiding its face,['golf put'],0.11096906661987305,False
197,Picking up something,['golf put'],0.20321789383888245,False
198,Picking something up,['golf put'],0.24406394362449646,False
199,Picking up something,['golf put'],0.20321789383888245,False
200,Playing golf,['golf swing'],0.8222696185112,True
201,Throwing grenade,['golf swing'],0.17641323804855347,False
202,Swinging golf club,['golf swing'],0.8781430125236511,True
203,Swinging golf club,['golf swing'],0.8781430125236511,True
204,Swinging golf club,['golf swing'],0.8781430125236511,True
205,Swinging golf club,['golf swing'],0.8781430125236511,True
206,Throwing a ball,['golf swing'],0.43735527992248535,False
207,Throwing a baseball,['golf swing'],0.40314096212387085,False
208,Playing golf,['golf swing'],0.8222696185112,True
209,Golf swing miming,['golf swing'],0.8909986615180969,True
210,Throwing a ball,['javelin throw'],0.621761679649353,True
211,Throwing grenade,['javelin throw'],0.5438194870948792,True
212,Throwing frisbee,['javelin throw'],0.5757124423980713,True
213,Throwing javelin,['javelin throw'],0.9658077955245972,True
214,Conducting orchestra,['javelin throw'],0.10266081988811493,False
215,Long jump,['javelin throw'],0.4055253565311432,False
216,Conducting orchestra,['javelin throw'],0.10266081988811493,False
217,Boxing opponent,['javelin throw'],0.30373936891555786,False
218,Catching a ball,['javelin throw'],0.4713854193687439,False
219,Throwing a ball,['javelin throw'],0.621761679649353,True
