instance_id,output_text,ground_truth,similarity_score,correct
0,man stretches arms,['shooting arrow'],0.06339359283447266,False
1,Pointing gun at camera,['shooting arrow'],0.5538656115531921,True
2,man dancing,['shooting arrow'],0.1727033108472824,False
3,man aiming bow and arrow,['shooting arrow'],0.7321670055389404,True
4,Throwing ball,['shooting arrow'],0.3593466579914093,False
5,man aiming bow and arrow,['shooting arrow'],0.7321670055389404,True
6,Pointing at painting,['shooting arrow'],0.420967161655426,False
7,man pointing finger,['shooting arrow'],0.2593157887458801,False
8,man doing karate hand gesture,['shooting arrow'],0.1469699889421463,False
9,man dancing,['shooting arrow'],0.1727033108472824,False
10,thumbs up,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.21169978380203247,False
11,waving hand,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.2781656086444855,False
12,waving hand,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.2781656086444855,False
13,man lifting weights,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.691085934638977,True
14,man walks across classroom,"['alternating single arm curls', 'arm curls', 'weightlifting']",-0.02395329251885414,False
15,Lifting weights,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.8208645582199097,True
16,Pointing at desks,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.18079110980033875,False
17,man walking on stilts,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.1290113925933838,False
18,man holding money,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.07956455647945404,False
19,man standing up straight,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.17504537105560303,False
20,man dancing,['baseball swing'],0.14573749899864197,False
21,dancing with one leg,['baseball swing'],0.2246151715517044,False
22,man dancing on skateboard,['baseball swing'],0.15186506509780884,False
23,pitching baseball,['baseball swing'],0.691510796546936,True
24,man dancing in room,['baseball swing'],0.05670689046382904,False
25,baseball player pitching,['baseball swing'],0.5935534238815308,True
26,Walking on rug,['baseball swing'],0.12249540537595749,False
27,man dancing,['baseball swing'],0.14573749899864197,False
28,man dancing,['baseball swing'],0.14573749899864197,False
29,man dancing on skateboard,['baseball swing'],0.15186506509780884,False
30,man dancing on skateboard,['baseball pitch'],0.11047043651342392,False
31,dancing,['baseball pitch'],0.2330193966627121,False
32,Skateboarding.,['baseball pitch'],0.2944590151309967,False
33,pitching baseball,['baseball pitch'],0.8109980821609497,True
34,Jumping on skateboard,['baseball pitch'],0.2164197862148285,False
35,robot is jumping,['baseball pitch'],0.10877411812543869,False
36,Dancing on rug,['baseball pitch'],0.1429847925901413,False
37,man running on skateboard,['baseball pitch'],0.14628106355667114,False
38,man dancing,['baseball pitch'],0.09304726123809814,False
39,man dancing,['baseball pitch'],0.09304726123809814,False
40,man holding phone,['basketball shot'],0.03795691207051277,False
41,man holding gun,['basketball shot'],0.3138626217842102,False
42,man dancing on skateboard,['basketball shot'],0.07449417561292648,False
43,man holding basketball,['basketball shot'],0.5152646899223328,True
44,man dancing on rug,['basketball shot'],0.11986369639635086,False
45,robot dancing on basketball court,['basketball shot'],0.5329684615135193,True
46,Mopping the floor.,['basketball shot'],0.18668828904628754,False
47,man dancing,['basketball shot'],0.08069543540477753,False
48,man dancing,['basketball shot'],0.08069543540477753,False
49,man dancing,['basketball shot'],0.08069543540477753,False
50,man dancing,['basketball layup'],0.14608654379844666,False
51,dancing on one leg,['basketball layup'],0.25259673595428467,False
52,man running and jumping,['basketball layup'],0.21065115928649902,False
53,dancing on basketball court,['basketball layup'],0.5381381511688232,True
54,Jumping on a trampoline,['basketball layup'],0.2612737715244293,False
55,dribbling basketball,['basketball layup'],0.5980641841888428,True
56,dancing on rug,['basketball layup'],0.23538462817668915,False
57,man running on skateboard,['basketball layup'],0.12215878069400787,False
58,man dancing on skateboard,['basketball layup'],0.11579752713441849,False
59,man dancing,['basketball layup'],0.14608654379844666,False
60,man dancing on skateboard,['bowling'],0.2031880021095276,False
61,dancing on skateboard,['bowling'],0.34649181365966797,False
62,Skateboarding.,['bowling'],0.46956145763397217,False
63,bowling strike,['bowling'],0.8197799921035767,True
64,man dancing on stage,['bowling'],0.11935476958751678,False
65,bowling strike,['bowling'],0.8197799921035767,True
66,dancing on stairs,['bowling'],0.3167823851108551,False
67,man dancing,['bowling'],0.23860153555870056,False
68,man dancing,['bowling'],0.23860153555870056,False
69,man running on skateboard,['bowling'],0.14845316112041473,False
70,man dancing,['boxing'],0.11068770289421082,False
71,saluting with right hand,['boxing'],0.10541804134845734,False
72,man dancing,['boxing'],0.11068770289421082,False
73,man doing karate stance,['boxing'],0.24711990356445312,False
74,man holding phone,['boxing'],0.08893422782421112,False
75,The person is miming boxing.,['boxing'],0.6916452646255493,True
76,dancing on stage,['boxing'],0.18018417060375214,False
77,man dancing on skateboard,['boxing'],0.0513058602809906,False
78,man dancing,['boxing'],0.11068770289421082,False
79,man dancing,['boxing'],0.11068770289421082,False
80,man is texting,"['checking phone', 'sending text', 'using phone']",0.6360738277435303,True
81,Crossing arms,"['checking phone', 'sending text', 'using phone']",0.13505586981773376,False
82,man holding phone,"['checking phone', 'sending text', 'using phone']",0.5732128620147705,True
83,man looking at phone,"['checking phone', 'sending text', 'using phone']",0.6975607872009277,True
