instance_id,output_text,ground_truth,similarity_score,correct
0,swinging an imaginary object,['shooting arrow'],0.20003661513328552,False
1,aiming a weapon,['shooting arrow'],0.5830660462379456,True
2,driving a vehicle,['shooting arrow'],0.1648809313774109,False
3,Shooting an arrow,['shooting arrow'],0.9761127233505249,True
4,Holding a globe and dancing,['shooting arrow'],0.1933334618806839,False
5,Aiming a bow and arrow,['shooting arrow'],0.8024964332580566,True
6,pretending to be a robot,['shooting arrow'],0.14455537497997284,False
7,firing a gun,['shooting arrow'],0.6201329231262207,True
8,Swinging a golf club,['shooting arrow'],0.20452779531478882,False
9,Shooting a basketball,['shooting arrow'],0.5156912803649902,True
10,Celebrating a victory,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.14408770203590393,False
11,Waving hello or goodbye,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.14301477372646332,False
12,riding a skateboard,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.17710141837596893,False
13,Lifting a barbell,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.6596983671188354,True
14,walking on a desktop,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.07700412720441818,False
15,lifting weights,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.8208645582199097,True
16,Standing in a classroom,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.1251479685306549,False
17,Looking around nervously,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.15754158794879913,False
18,pumping fists in celebration,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.28545942902565,False
19,Checking a watch,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.07504510134458542,False
20,boxing or fighting stance,['baseball swing'],0.3254866898059845,False
21,Crouching and aiming weapon,['baseball swing'],0.20749132335186005,False
22,Hitting a baseball,['baseball swing'],0.7354023456573486,True
23,throwing a baseball,['baseball swing'],0.6732771396636963,True
24,Playing golf,['baseball swing'],0.5325322151184082,True
25,Throwing a baseball,['baseball swing'],0.6732771396636963,True
26,dancing in place,['baseball swing'],0.2432841807603836,False
27,swinging a golf club,['baseball swing'],0.6686261296272278,True
28,swinging a bat or club,['baseball swing'],0.7380484938621521,True
29,Swinging a golf club,['baseball swing'],0.6686261296272278,True
30,fighting or sparring,['baseball pitch'],0.18817919492721558,False
31,Shooting a firearm,['baseball pitch'],0.17755275964736938,False
32,running away,['baseball pitch'],0.18870443105697632,False
33,Pitching a baseball,['baseball pitch'],0.7934727072715759,True
34,Running away from something,['baseball pitch'],0.1313420534133911,False
35,throwing a baseball,['baseball pitch'],0.7502316236495972,True
36,Dancing with enthusiasm,['baseball pitch'],0.18026667833328247,False
37,Running away from danger,['baseball pitch'],0.11338988691568375,False
38,Running away from something,['baseball pitch'],0.1313420534133911,False
39,Running away quickly,['baseball pitch'],0.14329606294631958,False
40,Jumping and waving hands,['basketball shot'],0.19586941599845886,False
41,jumping in celebration,['basketball shot'],0.24105525016784668,False
42,jumping around excitedly,['basketball shot'],0.2042957842350006,False
43,shooting a basketball,['basketball shot'],0.8762844800949097,True
44,Jumping for joy,['basketball shot'],0.22744838893413544,False
45,pretending to play basketball,['basketball shot'],0.5228609442710876,True
46,jumping up and down,['basketball shot'],0.29184603691101074,False
47,catching a ball,['basketball shot'],0.47741299867630005,False
48,Dancing with excitement,['basketball shot'],0.17470777034759521,False
49,squatting and looking around,['basketball shot'],0.18719792366027832,False
50,Running away from danger,['basketball layup'],0.14563590288162231,False
51,running away from danger,['basketball layup'],0.14563590288162231,False
52,Running away from danger,['basketball layup'],0.14563590288162231,False
53,Running with excitement,['basketball layup'],0.18270620703697205,False
54,Running with a globe,['basketball layup'],0.25967541337013245,False
55,Celebrating a victory,['basketball layup'],0.14135195314884186,False
56,Running away excitedly,['basketball layup'],0.11822675168514252,False
57,running and jumping,['basketball layup'],0.32138586044311523,False
58,jumping and celebrating,['basketball layup'],0.20973391830921173,False
59,running in place,['basketball layup'],0.30959945917129517,False
60,running away,['bowling'],0.2671731412410736,False
61,walking with caution,['bowling'],0.19071096181869507,False
62,running or jogging in place,['bowling'],0.27849993109703064,False
63,Bowling a strike,['bowling'],0.7352016568183899,True
64,pretending to play an instrument,['bowling'],0.20857077836990356,False
65,Bowling a strike,['bowling'],0.7352016568183899,True
66,Dancing on stage,['bowling'],0.280785471200943,False
67,Running away from danger,['bowling'],0.17248529195785522,False
68,Playing an instrument,['bowling'],0.29444676637649536,False
69,running away,['bowling'],0.2671731412410736,False
70,playing a musical instrument,['boxing'],0.1285466104745865,False
71,Looking through a camera,['boxing'],0.1129973754286766,False
72,fighting an imaginary opponent,['boxing'],0.4431751072406769,False
73,boxing stance,['boxing'],0.6952793002128601,True
74,boxing or fighting stance,['boxing'],0.6839389204978943,True
75,Practicing martial arts moves,['boxing'],0.33973291516304016,False
76,Singing into a microphone,['boxing'],0.08133793622255325,False
77,Taking a selfie,['boxing'],0.221843421459198,False
78,taking a photo,['boxing'],0.1908338963985443,False
79,dancing like no one's watching,['boxing'],0.21175721287727356,False
80,checking something on phone,"['checking phone', 'sending text', 'using phone']",0.9346400499343872,True
81,Checking a watch or device,"['checking phone', 'sending text', 'using phone']",0.5491496324539185,True
82,holding a small object,"['checking phone', 'sending text', 'using phone']",0.22240115702152252,False
83,Looking for socks,"['checking phone', 'sending text', 'using phone']",0.15579891204833984,False
84,calling a volleyball match,"['checking phone', 'sending text', 'using phone']",0.31177017092704773,False
85,Pretending to be a robot,"['checking phone', 'sending text', 'using phone']",0.17091819643974304,False
86,walking in place,"['checking phone', 'sending text', 'using phone']",0.17155002057552338,False
87,Checking a watch,"['checking phone', 'sending text', 'using phone']",0.4987398087978363,False
88,Looking at a phone,"['checking phone', 'sending text', 'using phone']",0.7782116532325745,True
89,checking a watch,"['checking phone', 'sending text', 'using phone']",0.4987398087978363,False
90,Checking the time,['checking watch'],0.5550270080566406,True
91,scratching head in confusion,['checking watch'],0.15346917510032654,False
92,checking a watch,['checking watch'],0.9309651851654053,True
93,Walking with a globe,['checking watch'],0.0515187568962574,False
94,checking a watch,['checking watch'],0.9309651851654053,True
95,Playing with a globe,['checking watch'],0.060056351125240326,False
96,Acting confused or dazed,['checking watch'],0.22506967186927795,False
97,checking the time,['checking watch'],0.5550270080566406,True
98,Checking wristwatch,['checking watch'],0.7043851613998413,True
99,checking a watch,['checking watch'],0.9309651851654053,True
100,Celebrating a victory,['climbing'],0.20823578536510468,False
101,Celebrating a victory,['climbing'],0.20823578536510468,False
