instance_id,output_text,ground_truth,similarity_score,correct
0,The man is standing with his arms crossed over his chest.,['shooting arrow'],0.11191367357969284,False
1,The person is pointing their finger.,['shooting arrow'],0.2346639782190323,False
2,The person is dancing.,['shooting arrow'],0.1563761681318283,False
3,The person is aiming an arrow at a target.,['shooting arrow'],0.7516992092132568,True
4,The person is holding a ball and pretending to throw it.,['shooting arrow'],0.13945236802101135,False
5,The person is aiming an arrow at a target.,['shooting arrow'],0.7516992092132568,True
6,"The person is standing in a room, holding a pumpkin and pointing forward.",['shooting arrow'],0.16529303789138794,False
7,The man is pointing his finger.,['shooting arrow'],0.2095031440258026,False
8,The man is raising his arms and making a gesture with his hands.,['shooting arrow'],0.14611227810382843,False
9,The man is standing with his arms outstretched.,['shooting arrow'],0.07494263350963593,False
10,The person is standing still.,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.046978551894426346,False
11,The person is waving their hand.,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.13237343728542328,False
12,The person is standing still.,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.046978551894426346,False
13,"The person is standing in a gym, holding a dumbbell in each hand, and appears to be miming lifting the dumbbells above their head.","['alternating single arm curls', 'arm curls', 'weightlifting']",0.5187364816665649,True
14,"The person is standing in an empty classroom, holding onto the back of a desk with both hands.","['alternating single arm curls', 'arm curls', 'weightlifting']",0.13259771466255188,False
15,Acting out: Lifting a barbell,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.6090996265411377,True
16,"The person is standing in an empty classroom, facing away from the camera. They are wearing a futuristic suit with multiple joints and sensors. The person raises their right hand and points forward with their index finger.","['alternating single arm curls', 'arm curls', 'weightlifting']",0.10645277798175812,False
17,The man is walking.,"['alternating single arm curls', 'arm curls', 'weightlifting']",-0.053561702370643616,False
18,The person is standing with their hands behind their back.,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.15914976596832275,False
19,The man is standing with his hands behind his back.,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.1282355785369873,False
20,The person is dancing.,['baseball swing'],0.1105431616306305,False
21,The person is dancing.,['baseball swing'],0.1105431616306305,False
22,The person is standing on a skateboard and raising their arms.,['baseball swing'],0.17127275466918945,False
23,The person is pitching a baseball.,['baseball swing'],0.5373989939689636,True
24,The person is miming boxing.,['baseball swing'],0.2616114616394043,False
25,The person is jumping up and down.,['baseball swing'],0.23052871227264404,False
26,The person is walking across the room.,['baseball swing'],0.01918691024184227,False
27,The man is dancing.,['baseball swing'],0.05392555147409439,False
28,The person is dancing.,['baseball swing'],0.1105431616306305,False
29,The man is dancing.,['baseball swing'],0.05392555147409439,False
30,The person is standing on a skateboard.,['baseball pitch'],0.1619682013988495,False
31,The person is dancing.,['baseball pitch'],0.08491436392068863,False
32,The person is standing on a skateboard.,['baseball pitch'],0.1619682013988495,False
33,The person is pitching a baseball.,['baseball pitch'],0.6917549967765808,True
34,The person is dancing.,['baseball pitch'],0.08491436392068863,False
35,The person is standing on a baseball mound.,['baseball pitch'],0.5812285542488098,True
36,The person is walking forward on a rug.,['baseball pitch'],0.05748431012034416,False
37,The man is running.,['baseball pitch'],0.09659837931394577,False
38,The man is dancing.,['baseball pitch'],0.03549965098500252,False
39,The man is running.,['baseball pitch'],0.09659837931394577,False
40,The man is dancing.,['basketball shot'],-0.003826189786195755,False
41,The person is standing still.,['basketball shot'],0.0788489505648613,False
42,The person is standing on a skateboard and raising their right hand.,['basketball shot'],0.13371270895004272,False
43,The person is holding a basketball above their head and then raising it up.,['basketball shot'],0.520533561706543,True
44,The person is walking on a rug.,['basketball shot'],0.07700490951538086,False
45,The person is standing still.,['basketball shot'],0.0788489505648613,False
46,"The person is standing on a rug, holding a ball.",['basketball shot'],0.30725643038749695,False
47,The person is standing on one leg and raising their other leg up.,['basketball shot'],0.12521813809871674,False
48,The person is raising their right arm above their head and then lowering it back down.,['basketball shot'],0.20001012086868286,False
49,The man is dancing.,['basketball shot'],-0.003826189786195755,False
50,The man is dancing.,['basketball layup'],0.08249964565038681,False
51,The person is running and jumping.,['basketball layup'],0.19616609811782837,False
52,The person is running and jumping.,['basketball layup'],0.19616609811782837,False
53,The person is dancing.,['basketball layup'],0.13632437586784363,False
54,The person is running across the room.,['basketball layup'],0.06272101402282715,False
55,The person is dribbling a basketball.,['basketball layup'],0.47106194496154785,False
56,The person is dancing.,['basketball layup'],0.13632437586784363,False
57,The person is running on a skateboard.,['basketball layup'],0.12247893214225769,False
58,The man is walking and then raises his right arm up.,['basketball layup'],0.2572571635246277,False
59,The man is dancing.,['basketball layup'],0.08249964565038681,False
60,The person is standing on a skateboard and moving their arms and legs.,['bowling'],0.11097004264593124,False
61,The person is dancing.,['bowling'],0.19580823183059692,False
62,The person is riding a skateboard.,['bowling'],0.1201196014881134,False
63,The man is bowling.,['bowling'],0.6608210206031799,True
64,The man is walking across the stage.,['bowling'],0.02512199804186821,False
65,The person is bowling.,['bowling'],0.6896471977233887,True
66,The person is walking down the stairs.,['bowling'],-0.002135668881237507,False
67,The man is dancing.,['bowling'],0.1547027826309204,False
68,The man is dancing.,['bowling'],0.1547027826309204,False
69,The man is running.,['bowling'],0.07046276330947876,False
70,The person is standing on one leg and holding their other hand up to their face.,['boxing'],0.09045463800430298,False
71,The person is standing still.,['boxing'],0.05853176862001419,False
72,The person is dancing.,['boxing'],0.070231132209301,False
73,The person is raising their right arm above their head and then bringing it down to their side while also moving their left arm in a similar manner.,['boxing'],0.16800644993782043,False
74,The person is holding a microphone and moving their hands around.,['boxing'],0.13661831617355347,False
75,"The person is standing in a gym, facing forward, and raising their right hand to their face while keeping their left arm extended outward.",['boxing'],0.2230624407529831,False
76,The person is standing on a stage with their arms crossed over their chest.,['boxing'],0.040235474705696106,False
77,The person is covering their ears with their hands.,['boxing'],0.06740555912256241,False
78,The man is standing on a skateboard and moving his arms and legs in a rhythmic manner.,['boxing'],0.054093386977910995,False
79,The person is dancing.,['boxing'],0.070231132209301,False
80,The man is standing with his arms crossed.,"['checking phone', 'sending text', 'using phone']",0.09923890233039856,False
81,The person is standing still with their arms crossed over their chest.,"['checking phone', 'sending text', 'using phone']",0.10124140232801437,False
82,The person is holding a phone in their hands.,"['checking phone', 'sending text', 'using phone']",0.5778748989105225,True
83,"The person is standing in a room, looking at their phone.","['checking phone', 'sending text', 'using phone']",0.5155079960823059,True
84,The man is standing on a volleyball court and clapping his hands together.,"['checking phone', 'sending text', 'using phone']",0.04830258712172508,False
85,Walking forward while holding hands.,"['checking phone', 'sending text', 'using phone']",0.25222551822662354,False
86,The person is standing still with their arms crossed over their chest.,"['checking phone', 'sending text', 'using phone']",0.10124140232801437,False
87,The man is standing and looking at his phone.,"['checking phone', 'sending text', 'using phone']",0.5499529838562012,True
88,The man is standing still.,"['checking phone', 'sending text', 'using phone']",0.02288108877837658,False
89,The man is standing with his hands on his hips.,"['checking phone', 'sending text', 'using phone']",0.08160557597875595,False
90,The man is standing with his hands on his hips.,['checking watch'],0.0015608295798301697,False
91,The person is standing still.,['checking watch'],0.05891510099172592,False
92,The person is standing on a skateboard.,['checking watch'],0.016775142401456833,False
93,"The person is standing in a room, holding their arms out to the sides and then bringing them down to their sides. They then raise their right arm above their head and bring it back down. Finally, they raise their left arm above their head and bring it back down.",['checking watch'],0.11035668849945068,False
94,The person is pointing at the volleyball net.,['checking watch'],0.07243593037128448,False
95,Acting out a robot's movements.,['checking watch'],0.20929737389087677,False
96,"The person is standing on a volleyball court, holding their hands up to their face as if they are wearing a mask.",['checking watch'],0.03228432312607765,False
97,The person is standing on a skateboard and pointing forward.,['checking watch'],0.04288775846362114,False
98,The man is standing with his hands behind his back.,['checking watch'],-0.07003012299537659,False
99,The man is pointing his finger.,['checking watch'],0.029085993766784668,False
100,The person is raising their right hand above their head and then bringing it down to their side.,['climbing'],0.2513095438480377,False
101,The person is raising their right hand.,['climbing'],0.17975234985351562,False
102,The person is raising their right hand above their head and then bringing it down to their side.,['climbing'],0.2513095438480377,False
103,"The person is standing on a blue mat in front of a climbing wall. They raise their right hand to their head, possibly adjusting their hair or scratching their head.",['climbing'],0.4502922594547272,False
104,The person is raising their right hand and then lowering it back down.,['climbing'],0.2543821930885315,False
105,"The person is climbing a rock wall. They are using their hands and feet to grip and climb the colorful holds on the wall. Their body is positioned sideways, with one arm extended upward and the other arm holding onto the hold. The person's legs are bent at the knees, and they are stepping on different holds to ascend the wall.",['climbing'],0.5886902809143066,True
106,"The person is standing on a stage, holding a microphone in their right hand and raising their left hand in a waving gesture.",['climbing'],-0.022205470129847527,False
107,The person is raising their arms above their head.,['climbing'],0.22913959622383118,False
108,The person is raising their right hand above their head and then lowering it back down.,['climbing'],0.25707682967185974,False
109,The man is dancing.,['climbing'],0.013798464089632034,False
110,The man is pointing his finger at something.,['throwing dart'],0.24250411987304688,False
111,The person is pointing their right hand forward.,['throwing dart'],0.26818326115608215,False
112,The person is standing on a skateboard and waving their hand.,['throwing dart'],0.10685009509325027,False
113,The person is holding their right hand up to their face and then lowering it back down.,['throwing dart'],0.15127697587013245,False
114,The person is standing on a stage and raising their right hand while moving their left hand in a circular motion.,['throwing dart'],0.1506204605102539,False
115,"The person is standing on a mat, raising their right arm and pointing forward. They then lower their arm and turn slightly to the left. Finally, they raise their right arm again and point forward.",['throwing dart'],0.24249029159545898,False
116,The person is raising their right hand and then lowering it.,['throwing dart'],0.22234763205051422,False
117,The man is pointing his finger up.,['throwing dart'],0.2100578248500824,False
118,The man is pointing his finger.,['throwing dart'],0.23674646019935608,False
119,The man is holding his hand up to his ear as if he's listening to something.,['throwing dart'],0.05544676631689072,False
120,The man is bending over and touching his shoes.,['deadlift'],0.16920270025730133,False
121,The person is bending down.,['deadlift'],0.23594635725021362,False
122,The person is standing on a skateboard.,['deadlift'],0.0759282335639,False
123,The person is bending down and then standing up.,['deadlift'],0.21514245867729187,False
124,The person is sweeping the floor with a broom.,['deadlift'],0.06829611212015152,False
125,The person is walking forward in a gym.,['deadlift'],0.23557384312152863,False
126,The person is bending down and then standing up.,['deadlift'],0.21514245867729187,False
127,The man is bending over and touching his shoes.,['deadlift'],0.16920270025730133,False
128,The man is bending over and touching his shoes.,['deadlift'],0.16920270025730133,False
129,The man bends down and touches his shoe.,['deadlift'],0.1438261866569519,False
130,The person is holding a phone and looking at it.,['drinking out of a cup'],0.0068638138473033905,False
131,The person is standing still with their arms crossed over their chest.,['drinking out of a cup'],0.097541943192482,False
132,The person is holding their hand up to their face.,['drinking out of a cup'],0.12487852573394775,False
