instance_id,output_text,ground_truth,similarity_score,correct
0,Bowtie on neck,['shooting arrow'],0.29766324162483215,False
1,Pointing to head,['shooting arrow'],0.35129061341285706,False
2,Climbing stairs,['shooting arrow'],0.2085016369819641,False
3,Throwing an arrow,['shooting arrow'],0.8188320398330688,True
4,Throwing the ball,['shooting arrow'],0.3432825803756714,False
5,Aiming a gun,['shooting arrow'],0.6381752490997314,True
6,Pointing to themselves,['shooting arrow'],0.3008993864059448,False
7,Taking picture,['shooting arrow'],0.30672115087509155,False
8,Taking a selfie,['shooting arrow'],0.18362295627593994,False
9,talking on phone,['shooting arrow'],0.11104679107666016,False
10,Throwing fruit,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.20371755957603455,False
11,Put hand to head,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.3046219050884247,False
12,Holding small mouse,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.1814034879207611,False
13,Holding weights,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.6952916979789734,True
14,Running,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.3957655727863312,False
15,Lifting dumbbell,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.7176690101623535,True
16,Waving with both hands,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.299174964427948,False
17,Eating cereal,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.22789759933948517,False
18,Throwing a rock,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.20804283022880554,False
19,Throwing a baseball,"['alternating single arm curls', 'arm curls', 'weightlifting']",0.27492833137512207,False
20,Drinking water,['baseball swing'],0.11189699172973633,False
21,Running,['baseball swing'],0.2699022889137268,False
22,Mimicking taking pictures with camera,['baseball swing'],0.11073216795921326,False
23,Pitching baseball,['baseball swing'],0.691510796546936,True
24,talking on phone,['baseball swing'],0.14815574884414673,False
25,Throwing a baseball,['baseball swing'],0.6732771396636963,True
26,Dancing or spinning,['baseball swing'],0.27061790227890015,False
27,Dancing and spinning,['baseball swing'],0.30591049790382385,False
28,Throwing a baseball,['baseball swing'],0.6732771396636963,True
29,Wiping face,['baseball swing'],0.059974782168865204,False
30,Mimicking throwing a gun,['baseball pitch'],0.22026067972183228,False
31,Jumping,['baseball pitch'],0.2616831064224243,False
32,Throwing shadow boxer,['baseball pitch'],0.2316167652606964,False
33,Throwing a baseball,['baseball pitch'],0.7502316236495972,True
34,Put on ice skates,['baseball pitch'],0.2407432496547699,False
35,Throwing a baseball,['baseball pitch'],0.7502316236495972,True
36,Dancing,['baseball pitch'],0.23301944136619568,False
37,Running in place,['baseball pitch'],0.1810009628534317,False
38,Throwing a football,['baseball pitch'],0.43963009119033813,False
39,Punching someone in the gut,['baseball pitch'],0.13730646669864655,False
40,Throwing a bird,['basketball shot'],0.36697402596473694,False
41,Shaking head vigorously,['basketball shot'],0.23090922832489014,False
42,Jumping up and down,['basketball shot'],0.29184603691101074,False
43,jumping,['basketball shot'],0.33339035511016846,False
44,Jumping rope,['basketball shot'],0.24335213005542755,False
45,Running,['basketball shot'],0.2527896761894226,False
46,Picking up clothes,['basketball shot'],0.08993080258369446,False
47,Taking a shot,['basketball shot'],0.6769324541091919,True
48,Throwing a ball,['basketball shot'],0.5282814502716064,True
49,Throwing a baseball,['basketball shot'],0.41427695751190186,False
50,Throwing something,['basketball layup'],0.2980839014053345,False
51,Running and jumping,['basketball layup'],0.32138586044311523,False
52,Jump off a trampoline,['basketball layup'],0.25237277150154114,False
53,Throwing a ball,['basketball layup'],0.4759579002857208,False
54,Dancing or moving energetically,['basketball layup'],0.20094114542007446,False
55,The person is acting out a baseball swing,['basketball layup'],0.23903842270374298,False
56,Fall down,['basketball layup'],0.4603475332260132,False
57,Throwing something,['basketball layup'],0.2980839014053345,False
58,Running in place,['basketball layup'],0.30959945917129517,False
59,Singing or screaming,['basketball layup'],0.1407940834760666,False
60,squatting down,['bowling'],0.28318315744400024,False
61,Fighting,['bowling'],0.37241870164871216,False
62,Walking,['bowling'],0.3089575469493866,False
63,Throwing a bowling ball,['bowling'],0.7557195425033569,True
64,Clapping hands,['bowling'],0.21782463788986206,False
65,Throwing a bowling ball,['bowling'],0.7557195425033569,True
66,Running,['bowling'],0.34374070167541504,False
67,Running in place,['bowling'],0.2490042746067047,False
68,Throwing a rock,['bowling'],0.3054754436016083,False
69,Walking,['bowling'],0.3089575469493866,False
70,Pretending to be sick,['boxing'],0.2439771294593811,False
71,Putting on a gas mask,['boxing'],0.1365370899438858,False
72,Bouncing on one foot,['boxing'],0.2678816318511963,False
73,Walking,['boxing'],0.28924670815467834,False
74,Covering mouth with hands,['boxing'],0.16308531165122986,False
75,Jumping high,['boxing'],0.308491587638855,False
76,Taking a picture,['boxing'],0.24186399579048157,False
77,squinting eyes,['boxing'],0.20870238542556763,False
78,Taking pictures,['boxing'],0.2564023435115814,False
79,Adjusting glasses,['boxing'],0.07268515229225159,False
80,Checking watch,"['checking phone', 'sending text', 'using phone']",0.5184553861618042,True
81,Rubbing their face,"['checking phone', 'sending text', 'using phone']",0.2343708872795105,False
82,Play video game,"['checking phone', 'sending text', 'using phone']",0.17829343676567078,False
83,Dancing on two feet,"['checking phone', 'sending text', 'using phone']",0.10248388350009918,False
84,Bump elbow,"['checking phone', 'sending text', 'using phone']",0.06635106354951859,False
85,Put on mask,"['checking phone', 'sending text', 'using phone']",0.21659304201602936,False
86,Adjust helmet,"['checking phone', 'sending text', 'using phone']",0.10314041376113892,False
87,Using phone,"['checking phone', 'sending text', 'using phone']",1.0,True
88,Turning their head,"['checking phone', 'sending text', 'using phone']",0.167782261967659,False
89,Texting or holding phone,"['checking phone', 'sending text', 'using phone']",0.6786002516746521,True
90,Pointing to face,['checking watch'],0.14314867556095123,False
91,Saluting,['checking watch'],0.09338228404521942,False
92,Checking time,['checking watch'],0.5563918352127075,True
93,Get water from sink,['checking watch'],0.036702726036310196,False
94,Blowing nose,['checking watch'],0.122413769364357,False
95,Adjusting helmet,['checking watch'],0.13557252287864685,False
96,Throwing something,['checking watch'],0.10315576195716858,False
97,Looking at a wristwatch,['checking watch'],0.6249775886535645,True
98,Scratching neck,['checking watch'],0.17628586292266846,False
99,tell the time,['checking watch'],0.2066558301448822,False
100,Throwing something,['climbing'],0.16182106733322144,False
101,Throwing object,['climbing'],0.17472408711910248,False
102,Throwing something,['climbing'],0.16182106733322144,False
103,drinking water,['climbing'],0.13743935525417328,False
104,Taking picture,['climbing'],0.16905635595321655,False
105,Climbing,['climbing'],1.0000001192092896,True
